"Pathway","Protein"
"Cold Thermoregulation","LEP"
"Cold Thermoregulation","FABP4"
"Cold Thermoregulation","LEP"
"Cold Thermoregulation","FABP4"
"Cold Thermoregulation","LEP"
"Cold Thermoregulation","FABP4"
"Cold Thermoregulation","LEP"
"Cold Thermoregulation","FABP4"
"Cold Thermoregulation","LEP"
"Cold Thermoregulation","FABP4"
"Brown Adipocyte Oxidation","LEP"
"Brown Adipocyte Oxidation","FABP4"
"Brown Adipocyte Oxidation","RARRES2"
"Brown Adipocyte Oxidation","IL6"
"Brown Adipocyte Oxidation","FABP3"
"Brown Adipocyte Oxidation","MB"
"Brown Adipocyte Oxidation","LPL"
"Brown Adipocyte Oxidation","LEP"
"Brown Adipocyte Oxidation","FABP4"
"Brown Adipocyte Oxidation","FABP3"
"Brown Adipocyte Oxidation","MB"
