ChemicalName,GeneSymbol
lisinopril,LEP
tidiacic arginine,LEP
perindopril,LEP
enalapril,LEP
trandolapril,LEP
moexipril,LEP
imidapril,LEP
pravastatin,LEP
ramipril,LEP
fenfluramine,LEP
nebivolol,LEP
inclisiran,LEP
acarbose,LEP
vildagliptin,LEP
insulin beef,LEP
exenatide,LEP
insulin degludec,LEP
cilazapril,LEP
quinapril,LEP
imeglimin,LEP
cinchophen,LEP
dexfenfluramine,LEP
simvastatin,LEP
bethanidine,LEP
levamlodipine,LEP
metolazone,LEP
clopamide,LEP
topiramate,LEP
metoprolol,LEP
temocapril,LEP
tienilic acid,LEP
theobromine,LEP
benidipine,LEP
metahexamide,LEP
amlodipine,LEP
aliskiren,LEP
clonidine,LEP
phenformin,LEP
phentermine,LEP
lidoflazine,LEP
ketanserin,LEP
febuxostat,LEP
eplerenone,LEP
lovastatin,LEP
ivabradine,LEP
cholestyramine,LEP
benzbromarone,LEP
beinaglutide,LEP
riociguat,LEP
trichlormethiazide,LEP
potassium,LEP
mecamylamine,LEP
cadralazine,LEP
buformin,LEP
liraglutide,LEP
diazoxide,LEP
talinolol,LEP
azilsartan medoxomil,LEP
bempedoic acid,LEP
candesartan,LEP
rimonabant,LEP
cyclobutyrol,LEP
telmisartan,LEP
glimepiride,LEP
chlorothiazide,LEP
nicotinyl alcohol,LEP
setmelanotide,LEP
syrosingopine,LEP
gemfibrozil,LEP
metformin,LEP
bevantolol,LEP
bisoprolol,LEP
sotalol,LEP
tolonidine,LEP
barnidipine,LEP
olmesartan,LEP
colestipol,LEP
meticrane,LEP
indoramin,LEP
canrenoic acid,LEP
cathine,LEP
linagliptin,LEP
atorvastatin,LEP
canrenone,LEP
arginine glutamate,LEP
tiadenol,LEP
cerivastatin,LEP
epitizide,LEP
carvedilol,LEP
colchicine,LEP
hydralazine,LEP
atenolol,LEP
fendiline,LEP
cholic acid,LEP
sibutramine,LEP
nitroprusside,LEP
tasosartan,LEP
losartan,LEP
glymidine,LEP
glyburide,LEP
nisoldipine,LEP
probucol,LEP
tauroursodeoxycholic acid,LEP
acipimox,LEP
hydroflumethiazide,LEP
lercanidipine,LEP
clorexolone,LEP
dorzagliatin,LEP
acebutolol,LEP
betaxolol,LEP
glipizide,LEP
chlorthalidone,LEP
etofibrate,LEP
nadolol,LEP
tisopurine,LEP
tadalafil,LEP
practolol,LEP
niceritrol,LEP
aluminium clofibrate,LEP
mazindol,LEP
hydrochlorothiazide,LEP
glisoxepide,LEP
nifedipine,LEP
befunolol,LEP
urapidil,LEP
guanfacine,LEP
finerenone,LEP
aluminium nicotinate,LEP
nilvadipine,LEP
diltiazem,LEP
guanoclor,LEP
oxprenolol,LEP
acetohexamide,LEP
bendroflumethiazide,LEP
doxazosin,LEP
verapamil,LEP
endralazine,LEP
lacidipine,LEP
alprenolol,LEP
esmolol,LEP
esatenolol,LEP
pioglitazone,LEP
carteolol,LEP
rosiglitazone,LEP
miglitol,LEP
reserpine,LEP
celiprolol,LEP
spironolactone,LEP
pindolol,LEP
ciprofibrate,LEP
allopurinol,LEP
metyrosine,LEP
metadoxine,LEP
methoserpidine,LEP
mibefradil,LEP
guanethidine,LEP
captopril,LEP
probenecid,LEP
nicardipine,LEP
piprozolin,LEP
glibornuride,LEP
tolrestat,LEP
manidipine,LEP
canagliflozin,LEP
cilnidipine,LEP
troglitazone,LEP
epanolol,LEP
benfluorex,LEP
tolazamide,LEP
mebutizide,LEP
nitrendipine,LEP
epomediol,LEP
glycyrrhizic acid,LEP
guanazodine,LEP
gliquidone,LEP
trimazosin,LEP
xipamide,LEP
levobunolol,LEP
mepindolol,LEP
methyldopa,LEP
clofenamide,LEP
moxonidine,LEP
gliclazide,LEP
valsartan,LEP
fenofibrate,LEP
chenodeoxycholic acid,LEP
ezetimibe,LEP
zofenopril,LEP
fimasartan,LEP
labetalol,LEP
pemafibrate,LEP
polythiazide,LEP
ornithine,LEP
bepridil,LEP
minoxidil,LEP
mefenorex,LEP
bopindolol,LEP
saxagliptin,LEP
pitavastatin,LEP
sitaxentan,LEP
meglutol,LEP
deserpidine,LEP
lixisenatide,LEP
bumetanide,LEP
fenquizone,LEP
voglibose,LEP
remikiren,LEP
orlistat,LEP
nicofuranose,LEP
macitentan,LEP
chlorpropamide,LEP
dapagliflozin,LEP
quinethazone,LEP
clevidipine,LEP
simfibrate,LEP
hymecromone,LEP
methyclothiazide,LEP
sacubitril,LEP
omega-3 fatty acids,LEP
semaglutide,LEP
pinacidil,LEP
dihydralazine,LEP
rilmenidine,LEP
tirzepatide,LEP
dulaglutide,LEP
guanoxan,LEP
fluvastatin,LEP
cloranolol,LEP
sulfinpyrazone,LEP
prazosin,LEP
mersalyl,LEP
lobeglitazone,LEP
bietaserpine,LEP
alogliptin,LEP
metipranolol,LEP
cyclothiazide,LEP
repaglinide,LEP
clofibride,LEP
mefruside,LEP
fenofibric acid,LEP
clofibrate,LEP
guanoxabenz,LEP
diethylpropion,LEP
propranolol,LEP
muzolimine,LEP
ronifibrate,LEP
silibinin,LEP
ertugliflozin,LEP
